month_id,month_num,year,quarter,month_name,month
202401,1,2024,1,January,2024-01-01
202402,2,2024,1,February,2024-02-01
202403,3,2024,1,March,2024-03-01
202404,4,2024,2,April,2024-04-01
202405,5,2024,2,May,2024-05-01
202406,6,2024,2,June,2024-06-01
202407,7,2024,3,July,2024-07-01
202408,8,2024,3,August,2024-08-01
202409,9,2024,3,September,2024-09-01
202410,10,2024,4,October,2024-10-01
202411,11,2024,4,November,2024-11-01
202412,12,2024,4,December,2024-12-01
202501,1,2025,1,January,2025-01-01
202502,2,2025,1,February,2025-02-01
202503,3,2025,1,March,2025-03-01
202504,4,2025,2,April,2025-04-01
202505,5,2025,2,May,2025-05-01
202506,6,2025,2,June,2025-06-01
202507,7,2025,3,July,2025-07-01
202508,8,2025,3,August,2025-08-01
202509,9,2025,3,September,2025-09-01
202510,10,2025,4,October,2025-10-01
202511,11,2025,4,November,2025-11-01
202512,12,2025,4,December,2025-12-01
